node,degree,wdegree,pagerank,is_oncokb,betweenness,closeness,clustering,degree_rank,wdegree_rank,pagerank_rank,betweenness_rank,closeness_rank,clustering_rank,is_cosmic,is_tcga
RPS27,28,25.559,0.0002566450973877043,False,0.0,0.0,0.05555555555555555,82.0,78.0,315.0,1.0,1.0,1221.0,False,False
H3-4,28,24.388,0.00043218000164147065,True,0.0,0.0,0.0291005291005291,82.0,94.0,60.0,1.0,1.0,1809.0,False,False
RPL14,28,25.779,0.00024548505182359905,False,0.0,0.0,0.05026455026455026,82.0,77.0,370.0,1.0,1.0,1322.0,False,False
CCNA2,28,24.039,0.0004151185658180474,False,0.0,0.0,0.010582010582010581,82.0,99.0,67.0,1.0,1.0,2189.0,False,False
RPL24,27,24.288,0.00024472066271471863,False,0.0,0.0,0.042735042735042736,96.0,95.0,374.0,1.0,1.0,1546.0,False,False
H4C2,27,23.583,0.0003494263836271178,False,0.0,0.0,0.02564102564102564,96.0,105.0,116.0,1.0,1.0,1907.0,False,False
RPS19,27,25.029,0.00025048303094705467,False,0.0,0.0,0.03133903133903134,96.0,83.0,345.0,1.0,1.0,1777.0,False,False
GNAQ,27,23.717,0.0005605707614867233,True,0.0,0.0,0.002849002849002849,96.0,103.0,24.0,1.0,1.0,2270.0,False,False
JUN,27,22.509,0.0004405178764543704,True,0.0,0.0,0.008547008547008548,96.0,127.0,58.0,1.0,1.0,2217.0,False,False
MRPS12,27,23.973,0.00025060299604049785,False,0.0,0.0,0.039886039886039885,96.0,100.0,344.0,1.0,1.0,1558.0,False,False
MRPL22,27,23.175,0.00024703167855999133,False,0.0,0.0,0.037037037037037035,96.0,113.0,364.0,1.0,1.0,1596.0,False,False
CXCL8,27,22.61,0.0004317480081642257,False,0.0,0.0,0.03418803418803419,96.0,124.0,61.0,1.0,1.0,1745.0,False,False
GNB1,27,23.032,0.0005810046548565142,True,0.0,0.0,0.005698005698005698,96.0,116.0,19.0,1.0,1.0,2252.0,False,False
CALML6,27,23.283,0.0005207923329968002,False,0.0,0.0,0.008547008547008548,96.0,111.0,32.0,1.0,1.0,2217.0,False,False
H4C15,27,23.706,0.00035711633033169655,False,0.0,0.0,0.02564102564102564,96.0,104.0,108.0,1.0,1.0,1907.0,False,False
NOP2,27,22.291,0.00022563470864561512,False,0.0,0.0,0.05982905982905983,96.0,132.0,491.0,1.0,1.0,1189.0,False,False
MRPL12,27,24.712,0.0002655551574054786,False,0.0,0.0,0.05413105413105413,96.0,88.0,285.0,1.0,1.0,1297.0,False,False
NOP14,26,24.068,0.00024736744766308246,False,0.0,0.0,0.06153846153846154,109.0,98.0,362.0,1.0,1.0,1176.0,False,False
FN1,26,21.705,0.00047777217142942627,False,0.0,0.0,0.018461538461538463,109.0,146.0,41.0,1.0,1.0,2041.0,False,False
CDK1,26,22.808,0.00043156568601091357,False,0.0,0.0,0.015384615384615385,109.0,120.0,62.0,1.0,1.0,2092.0,False,False
HSP90AB1,26,22.516,0.000470254813587731,True,0.0,0.0,0.0,109.0,126.0,45.0,1.0,1.0,2273.0,False,False
PIK3R1,26,23.096,0.0004576370525428116,True,0.0,0.0,0.009230769230769232,109.0,115.0,52.0,1.0,1.0,2212.0,False,False
RPL28,26,23.459,0.00022845590696790127,False,0.0,0.0,0.043076923076923075,109.0,107.0,475.0,1.0,1.0,1544.0,False,False
CALML5,26,22.894,0.0005414517086465123,False,0.0,0.0,0.003076923076923077,109.0,119.0,27.0,1.0,1.0,2268.0,False,False
H3C14,26,23.263,0.00034334236589413065,True,0.0,0.0,0.024615384615384615,109.0,112.0,124.0,1.0,1.0,1942.0,False,False
RPF2,26,22.975,0.00026193478644360345,False,0.0,0.0,0.046153846153846156,109.0,117.0,299.0,1.0,1.0,1455.0,False,False
RPS24,26,24.563,0.00024002106810987306,False,0.0,0.0,0.06153846153846154,109.0,93.0,401.0,1.0,1.0,1176.0,False,False
CDH1,26,20.957,0.00038310844349295867,True,0.0,0.0,0.015384615384615385,109.0,162.0,84.0,1.0,1.0,2092.0,False,False
NFKB1,26,22.807,0.0004350903710485838,False,0.0,0.0,0.021538461538461538,109.0,121.0,59.0,1.0,1.0,2011.0,False,False
CD44,26,21.951,0.000466010869426119,False,0.0,0.0,0.015384615384615385,109.0,139.0,47.0,1.0,1.0,2092.0,False,False
H4C3,26,22.645,0.0003344571014289595,False,0.0,0.0,0.033846153846153845,109.0,123.0,134.0,1.0,1.0,1747.0,False,False
POLR2C,26,22.97,0.0003049397629658106,False,0.0,0.0,0.03076923076923077,109.0,118.0,179.0,1.0,1.0,1779.0,False,False
MRPL36,26,23.902,0.0002414761251044375,False,0.0,0.0,0.043076923076923075,109.0,101.0,392.0,1.0,1.0,1544.0,False,False
RPL30,26,23.895,0.000239002576618118,False,0.0,0.0,0.06153846153846154,109.0,102.0,405.0,1.0,1.0,1176.0,False,False
MAPK1,25,21.945,0.0004763480248222663,True,0.0,0.0,0.0,126.0,140.0,42.0,1.0,1.0,2273.0,False,False
MRNIP,25,21.659,0.00020776573319149474,False,0.0,0.0,0.056666666666666664,126.0,147.0,628.0,1.0,1.0,1218.0,False,False
RPL26,25,21.594,0.00021771091947894088,False,0.0,0.0,0.03333333333333333,126.0,150.0,548.0,1.0,1.0,1748.0,False,False
CUL1,25,22.762,0.0005192784543178656,False,0.0,0.0,0.0033333333333333335,126.0,122.0,33.0,1.0,1.0,2266.0,False,False
PRKACB,25,22.135,0.0004975787928825959,False,0.0,0.0,0.01,126.0,134.0,35.0,1.0,1.0,2194.0,False,False
RBX1,25,22.596,0.00044095119561234834,False,0.0,0.0,0.01,126.0,125.0,56.0,1.0,1.0,2194.0,False,False
PA2G4,25,21.764,0.00022250272900043661,False,0.0,0.0,0.06666666666666667,126.0,144.0,516.0,1.0,1.0,987.0,False,False
RPS7,25,23.415,0.000232316603712749,False,0.0,0.0,0.043333333333333335,126.0,108.0,444.0,1.0,1.0,1541.0,False,False
UBB,25,22.352,0.00041615044101427957,False,0.0,0.0,0.0033333333333333335,126.0,130.0,66.0,1.0,1.0,2266.0,False,False
TBP,25,22.043,0.00035435878687850255,False,0.0,0.0,0.023333333333333334,126.0,136.0,111.0,1.0,1.0,1953.0,False,False
RPS25,25,23.406,0.0002467512865392503,False,0.0,0.0,0.03666666666666667,126.0,109.0,367.0,1.0,1.0,1608.0,False,False
MRPS7,25,22.164,0.0002584235148488138,False,0.0,0.0,0.03333333333333333,126.0,133.0,311.0,1.0,1.0,1748.0,False,False
RPS20,25,23.305,0.00026074253733678293,False,0.0,0.0,0.03,126.0,110.0,302.0,1.0,1.0,1799.0,False,False
H3-5,25,21.798,0.00038825989124475086,True,0.0,0.0,0.006666666666666667,126.0,142.0,77.0,1.0,1.0,2241.0,False,False
MAPK3,25,21.974,0.0004839122696842595,True,0.0,0.0,0.0,126.0,138.0,39.0,1.0,1.0,2273.0,False,False
